mp_year,mp_month,mp_price
2012,1,588.338305882353
2012,2,613.507134375
2012,3,555.6782
2012,4,478.4816666666666
2012,5,412.9809040816326
2012,6,461.1964660377359
2013,5,487.0191285714286
2013,6,524.7425362068966
2013,7,594.63443
2013,8,673.3932441860466
2013,9,726.0869304347826
2013,10,660.5478744680852
2013,11,603.5948607142857
2013,12,576.1508538461538
2014,1,642.4702723404256
2014,2,687.7032775
2014,3,564.0754068181818
2014,4,507.5797298245614
2014,5,481.9972232142857
2014,6,524.6735807017544
2014,7,614.363058
2014,8,675.2371255813954
2014,9,678.7338488372093
2014,10,588.080025
2014,11,550.0767407407408
2014,12,573.1171568181818
2015,1,645.2750558139535
2015,2,616.5581000000001
2015,3,547.8303518518519
2015,4,507.60003500000005
2015,5,501.3204475409836
2015,6,534.2107
2015,7,597.6430763636364
2015,8,685.69258
2015,9,725.7173083333333
2015,10,676.82833125
2015,11,547.4095245283019
2015,12,543.3929
